iter	Passed	Remaining
0	1	3718
1	14	14611
2	48	32065
3	81	40852
4	95	38038
5	114	38195
6	147	41873
7	186	46504
8	219	48466
9	234	46647
10	267	48356
11	286	47441
12	309	47304
13	330	46910
14	366	48489
15	376	46718
16	408	47698
17	427	47042
18	458	47754
19	481	47649
20	521	49145
21	532	47910
22	552	47521
23	587	48380
24	622	49203
25	645	49005
26	682	49869
27	709	49998
28	724	49252
29	743	48845
30	772	49089
31	804	49464
32	837	49930
33	893	51660
34	931	52320
35	971	53005
36	1013	53754
37	1046	54033
38	1056	53102
39	1064	52156
40	1079	51566
41	1087	50691
42	1117	50870
43	1136	50502
44	1156	50222
45	1191	50607
46	1229	51104
47	1247	50712
48	1255	49994
49	1284	50110
50	1324	50598
51	1349	50548
52	1385	50898
53	1423	51287
54	1458	51586
55	1483	51504
56	1500	51132
57	1546	51788
58	1568	51610
59	1591	51468
60	1611	51234
61	1633	51051
62	1652	50806
63	1678	50764
64	1695	50463
65	1707	50044
66	1728	49859
67	1741	49485
68	1763	49363
69	1783	49186
70	1802	48970
71	1810	48487
72	1823	48147
73	1850	48175
74	1880	48273
75	1894	47959
76	1908	47656
77	1926	47463
78	1938	47129
79	1959	47026
80	1993	47234
81	2026	47409
82	2048	47314
83	2073	47287
84	2082	46915
85	2091	46543
86	2110	46413
87	2135	46394
88	2169	46577
89	2199	46674
90	2229	46760
91	2239	46435
92	2272	46598
93	2299	46620
94	2322	46573
95	2342	46464
96	2372	46535
97	2392	46427
98	2413	46337
99	2447	46509
100	2464	46330
101	2479	46137
102	2494	45948
103	2508	45729
104	2529	45654
105	2552	45603
106	2568	45446
107	2579	45184
108	2589	44925
109	2596	44613
110	2627	44718
111	2655	44762
112	2670	44591
113	2680	44341
114	2720	44590
115	2742	44540
116	2800	45065
117	2832	45172
118	2856	45149
119	2893	45330
120	2917	45309
121	2951	45437
122	2970	45327
123	3015	45618
124	3044	45669
125	3079	45806
126	3112	45909
127	3127	45736
128	3183	46174
129	3236	46558
130	3295	47018
131	3348	47383
132	3362	47203
133	3376	47021
134	3419	47237
135	3467	47529
136	3484	47387
137	3499	47223
138	3522	47165
139	3537	46991
140	3605	47536
141	3622	47400
142	3658	47511
143	3672	47335
144	3714	47515
145	3741	47515
146	3757	47369
147	3804	47605
148	3840	47707
149	3892	48006
150	3922	48030
151	3968	48248
152	3996	48243
153	4049	48542
154	4065	48391
155	4115	48642
156	4172	48977
157	4217	49166
158	4253	49249
159	4292	49360
160	4301	49134
161	4321	49026
162	4365	49201
163	4409	49369
164	4466	49670
165	4519	49928
166	4573	50201
167	4627	50467
168	4660	50491
169	4693	50519
170	4717	50457
171	4771	50712
172	4797	50663
173	4869	51098
174	4926	51376
175	4946	51264
176	5003	51535
177	5058	51781
178	5114	52032
179	5143	52007
180	5200	52266
181	5215	52098
182	5265	52276
183	5327	52582
184	5344	52437
185	5373	52408
186	5431	52663
187	5468	52703
188	5483	52538
189	5496	52362
190	5548	52551
191	5576	52507
192	5619	52615
193	5652	52619
194	5683	52609
195	5693	52404
196	5702	52188
197	5727	52124
198	5771	52235
199	5812	52315
200	5824	52128
201	5865	52211
202	5916	52374
203	5950	52389
204	6008	52609
205	6038	52583
206	6048	52390
207	6093	52499
208	6144	52656
209	6171	52604
210	6215	52696
211	6227	52519
212	6246	52402
213	6285	52457
214	6337	52617
215	6381	52708
216	6413	52693
